/home/gsm0197/sralab_working/lstm_4to1/trial2/j1/lstm.py:120: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to1/trial2/j1/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
torch.Size([403283, 50, 4]) torch.Size([403283, 50, 1])
torch.Size([198284, 50, 4]) torch.Size([198284, 50, 1])
Epoch 0: Train RMSE 0.0548, Test RMSE 0.0677
Epoch 1: Train RMSE 0.0523, Test RMSE 0.0643
Epoch 2: Train RMSE 0.0513, Test RMSE 0.0653
Epoch 3: Train RMSE 0.0499, Test RMSE 0.0659
Epoch 4: Train RMSE 0.0493, Test RMSE 0.0653
Epoch 5: Train RMSE 0.0490, Test RMSE 0.0653
Epoch 6: Train RMSE 0.0480, Test RMSE 0.0639
Epoch 7: Train RMSE 0.0483, Test RMSE 0.0661
Epoch 8: Train RMSE 0.0487, Test RMSE 0.0667
Epoch 9: Train RMSE 0.0478, Test RMSE 0.0667
Epoch 10: Train RMSE 0.0471, Test RMSE 0.0652
Epoch 11: Train RMSE 0.0464, Test RMSE 0.0648
Epoch 12: Train RMSE 0.0462, Test RMSE 0.0655
Epoch 13: Train RMSE 0.0465, Test RMSE 0.0658
Epoch 14: Train RMSE 0.0459, Test RMSE 0.0678
Epoch 15: Train RMSE 0.0454, Test RMSE 0.0668
Epoch 16: Train RMSE 0.0456, Test RMSE 0.0642
Epoch 17: Train RMSE 0.0454, Test RMSE 0.0656
Epoch 18: Train RMSE 0.0450, Test RMSE 0.0644
Epoch 19: Train RMSE 0.0447, Test RMSE 0.0641
Epoch 20: Train RMSE 0.0445, Test RMSE 0.0632
Epoch 21: Train RMSE 0.0443, Test RMSE 0.0641
Epoch 22: Train RMSE 0.0441, Test RMSE 0.0634
Epoch 23: Train RMSE 0.0442, Test RMSE 0.0674
Epoch 24: Train RMSE 0.0437, Test RMSE 0.0632
Epoch 25: Train RMSE 0.0436, Test RMSE 0.0654
Epoch 26: Train RMSE 0.0440, Test RMSE 0.0669
Epoch 27: Train RMSE 0.0429, Test RMSE 0.0643
Epoch 28: Train RMSE 0.0438, Test RMSE 0.0680
Epoch 29: Train RMSE 0.0430, Test RMSE 0.0661
Epoch 30: Train RMSE 0.0441, Test RMSE 0.0662
Epoch 31: Train RMSE 0.0426, Test RMSE 0.0673
Epoch 32: Train RMSE 0.0428, Test RMSE 0.0619
Epoch 33: Train RMSE 0.0425, Test RMSE 0.0648
Epoch 34: Train RMSE 0.0424, Test RMSE 0.0680
Epoch 35: Train RMSE 0.0418, Test RMSE 0.0643
Epoch 36: Train RMSE 0.0421, Test RMSE 0.0675
Epoch 37: Train RMSE 0.0431, Test RMSE 0.0642
Epoch 38: Train RMSE 0.0424, Test RMSE 0.0671
Epoch 39: Train RMSE 0.0417, Test RMSE 0.0639
Epoch 40: Train RMSE 0.0427, Test RMSE 0.0663
Epoch 41: Train RMSE 0.0419, Test RMSE 0.0651
Epoch 42: Train RMSE 0.0417, Test RMSE 0.0664
Epoch 43: Train RMSE 0.0421, Test RMSE 0.0667
Epoch 44: Train RMSE 0.0411, Test RMSE 0.0657
Epoch 45: Train RMSE 0.0413, Test RMSE 0.0646
Epoch 46: Train RMSE 0.0419, Test RMSE 0.0646
Epoch 47: Train RMSE 0.0413, Test RMSE 0.0664
