/home/gsm0197/sralab_working/lstm_4to1/trial3/j3/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to1/trial3/j3/lstm.py:124: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
torch.Size([403283, 50, 4]) torch.Size([403283, 50, 1])
torch.Size([198284, 50, 4]) torch.Size([198284, 50, 1])
Epoch 0: Train RMSE 0.0811, Test RMSE 0.0896
Epoch 1: Train RMSE 0.0782, Test RMSE 0.0868
Epoch 2: Train RMSE 0.0760, Test RMSE 0.0848
Epoch 3: Train RMSE 0.0811, Test RMSE 0.0902
Epoch 4: Train RMSE 0.0814, Test RMSE 0.0902
Epoch 5: Train RMSE 0.0828, Test RMSE 0.0921
Epoch 6: Train RMSE 0.0794, Test RMSE 0.0885
Epoch 7: Train RMSE 0.0826, Test RMSE 0.0922
Epoch 8: Train RMSE 0.0813, Test RMSE 0.0908
Epoch 9: Train RMSE 0.0804, Test RMSE 0.0906
Epoch 10: Train RMSE 0.0817, Test RMSE 0.0917
Epoch 11: Train RMSE 0.0837, Test RMSE 0.0935
Epoch 12: Train RMSE 0.0806, Test RMSE 0.0901
Epoch 13: Train RMSE 0.0834, Test RMSE 0.0923
Epoch 14: Train RMSE 0.0823, Test RMSE 0.0914
Epoch 15: Train RMSE 0.0876, Test RMSE 0.0966
Epoch 16: Train RMSE 0.0860, Test RMSE 0.0951
Epoch 17: Train RMSE 0.0839, Test RMSE 0.0936
Epoch 18: Train RMSE 0.0809, Test RMSE 0.0909
Epoch 19: Train RMSE 0.0877, Test RMSE 0.0971
Epoch 20: Train RMSE 0.0827, Test RMSE 0.0930
Epoch 21: Train RMSE 0.0860, Test RMSE 0.0951
Epoch 22: Train RMSE 0.0871, Test RMSE 0.0961
Epoch 23: Train RMSE 0.0860, Test RMSE 0.0943
Epoch 24: Train RMSE 0.0842, Test RMSE 0.0938
Epoch 25: Train RMSE 0.0865, Test RMSE 0.0960
Epoch 26: Train RMSE 0.0864, Test RMSE 0.0963
Epoch 27: Train RMSE 0.0856, Test RMSE 0.0959
Epoch 28: Train RMSE 0.0847, Test RMSE 0.0950
Epoch 29: Train RMSE 0.0876, Test RMSE 0.0982
Epoch 30: Train RMSE 0.0861, Test RMSE 0.0960
Epoch 31: Train RMSE 0.0873, Test RMSE 0.0987
Epoch 32: Train RMSE 0.0884, Test RMSE 0.0989
Epoch 33: Train RMSE 0.0854, Test RMSE 0.0966
Epoch 34: Train RMSE 0.0843, Test RMSE 0.0943
Epoch 35: Train RMSE 0.0876, Test RMSE 0.0978
Epoch 36: Train RMSE 0.0878, Test RMSE 0.0969
Epoch 37: Train RMSE 0.0890, Test RMSE 0.0999
Epoch 38: Train RMSE 0.0865, Test RMSE 0.0972
Epoch 39: Train RMSE 0.0864, Test RMSE 0.0971
Epoch 40: Train RMSE 0.0876, Test RMSE 0.0989
Epoch 41: Train RMSE 0.0862, Test RMSE 0.0970
Epoch 42: Train RMSE 0.0872, Test RMSE 0.0977
Epoch 43: Train RMSE 0.0871, Test RMSE 0.0980
Epoch 44: Train RMSE 0.0874, Test RMSE 0.0979
Epoch 45: Train RMSE 0.0870, Test RMSE 0.0976
Epoch 46: Train RMSE 0.0852, Test RMSE 0.0959
Epoch 47: Train RMSE 0.0859, Test RMSE 0.0961
Epoch 48: Train RMSE 0.0850, Test RMSE 0.0966
Epoch 49: Train RMSE 0.0842, Test RMSE 0.0956
Epoch 50: Train RMSE 0.0851, Test RMSE 0.0972
Epoch 51: Train RMSE 0.0868, Test RMSE 0.0967
Epoch 52: Train RMSE 0.0878, Test RMSE 0.0977
Epoch 53: Train RMSE 0.0874, Test RMSE 0.0983
Epoch 54: Train RMSE 0.0850, Test RMSE 0.0958
Epoch 55: Train RMSE 0.0863, Test RMSE 0.0968
Epoch 56: Train RMSE 0.0857, Test RMSE 0.0958
Epoch 57: Train RMSE 0.0843, Test RMSE 0.0956
Epoch 58: Train RMSE 0.0881, Test RMSE 0.0986
Epoch 59: Train RMSE 0.0876, Test RMSE 0.0981
Epoch 60: Train RMSE 0.0856, Test RMSE 0.0970
Epoch 61: Train RMSE 0.0873, Test RMSE 0.0975
Epoch 62: Train RMSE 0.0830, Test RMSE 0.0939
Epoch 63: Train RMSE 0.0866, Test RMSE 0.0973
Epoch 64: Train RMSE 0.0850, Test RMSE 0.0959
Epoch 65: Train RMSE 0.0868, Test RMSE 0.0972
Epoch 66: Train RMSE 0.0857, Test RMSE 0.0970
Epoch 67: Train RMSE 0.0864, Test RMSE 0.0976
Epoch 68: Train RMSE 0.0873, Test RMSE 0.0985
Epoch 69: Train RMSE 0.0857, Test RMSE 0.0969
Epoch 70: Train RMSE 0.0854, Test RMSE 0.0963
Epoch 71: Train RMSE 0.0866, Test RMSE 0.0979
Epoch 72: Train RMSE 0.0841, Test RMSE 0.0946
Epoch 73: Train RMSE 0.0844, Test RMSE 0.0958
Epoch 74: Train RMSE 0.0853, Test RMSE 0.0962
Epoch 75: Train RMSE 0.0882, Test RMSE 0.0992
Epoch 76: Train RMSE 0.0870, Test RMSE 0.0989
Epoch 77: Train RMSE 0.0870, Test RMSE 0.0985
Epoch 78: Train RMSE 0.0864, Test RMSE 0.0968
Epoch 79: Train RMSE 0.0862, Test RMSE 0.0974
Epoch 80: Train RMSE 0.0870, Test RMSE 0.0981
Epoch 81: Train RMSE 0.0868, Test RMSE 0.0976
