/home/gsm0197/sralab_working/lstm_4to4/trial1/lstm.py:120: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to4/trial1/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
torch.Size([403283, 50, 4]) torch.Size([403283, 50, 4])
torch.Size([198284, 50, 4]) torch.Size([198284, 50, 4])
Epoch 0: Train RMSE 0.0073, Test RMSE 0.0076
Epoch 1: Train RMSE 0.0028, Test RMSE 0.0031
Epoch 2: Train RMSE 0.0024, Test RMSE 0.0026
Epoch 3: Train RMSE 0.0023, Test RMSE 0.0026
Epoch 4: Train RMSE 0.0023, Test RMSE 0.0027
Epoch 5: Train RMSE 0.0023, Test RMSE 0.0025
Epoch 6: Train RMSE 0.0021, Test RMSE 0.0024
Epoch 7: Train RMSE 0.0022, Test RMSE 0.0025
Epoch 8: Train RMSE 0.0020, Test RMSE 0.0023
Epoch 9: Train RMSE 0.0020, Test RMSE 0.0023
Epoch 10: Train RMSE 0.0023, Test RMSE 0.0026
Epoch 11: Train RMSE 0.0020, Test RMSE 0.0022
Epoch 12: Train RMSE 0.0021, Test RMSE 0.0023
Epoch 13: Train RMSE 0.0020, Test RMSE 0.0022
Epoch 14: Train RMSE 0.0018, Test RMSE 0.0021
Epoch 15: Train RMSE 0.0019, Test RMSE 0.0021
Epoch 16: Train RMSE 0.0019, Test RMSE 0.0022
Epoch 17: Train RMSE 0.0018, Test RMSE 0.0020
Epoch 18: Train RMSE 0.0022, Test RMSE 0.0024
Epoch 19: Train RMSE 0.0020, Test RMSE 0.0022
Epoch 20: Train RMSE 0.0019, Test RMSE 0.0021
Epoch 21: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 22: Train RMSE 0.0019, Test RMSE 0.0021
Epoch 23: Train RMSE 0.0018, Test RMSE 0.0020
Epoch 24: Train RMSE 0.0018, Test RMSE 0.0020
Epoch 25: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 26: Train RMSE 0.0018, Test RMSE 0.0020
Epoch 27: Train RMSE 0.0017, Test RMSE 0.0019
Epoch 28: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 29: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 30: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 31: Train RMSE 0.0019, Test RMSE 0.0021
Epoch 32: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 33: Train RMSE 0.0019, Test RMSE 0.0021
Epoch 34: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 35: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 36: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 37: Train RMSE 0.0019, Test RMSE 0.0022
Epoch 38: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 39: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 40: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 41: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 42: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 43: Train RMSE 0.0018, Test RMSE 0.0020
Epoch 44: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 45: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 46: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 47: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 48: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 49: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 50: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 51: Train RMSE 0.0021, Test RMSE 0.0023
Epoch 52: Train RMSE 0.0018, Test RMSE 0.0020
Epoch 53: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 54: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 55: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 56: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 57: Train RMSE 0.0021, Test RMSE 0.0023
Epoch 58: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 59: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 60: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 61: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 62: Train RMSE 0.0018, Test RMSE 0.0021
Epoch 63: Train RMSE 0.0015, Test RMSE 0.0019
Epoch 64: Train RMSE 0.0020, Test RMSE 0.0022
Epoch 65: Train RMSE 0.0017, Test RMSE 0.0019
Epoch 66: Train RMSE 0.0016, Test RMSE 0.0018
Epoch 67: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 68: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 69: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 70: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 71: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 72: Train RMSE 0.0017, Test RMSE 0.0020
Epoch 73: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 74: Train RMSE 0.0018, Test RMSE 0.0021
Epoch 75: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 76: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 77: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 78: Train RMSE 0.0016, Test RMSE 0.0019
Epoch 79: Train RMSE 0.0015, Test RMSE 0.0018
Epoch 80: Train RMSE 0.0015, Test RMSE 0.0018
Epoch 81: Train RMSE 0.0017, Test RMSE 0.0020
