nohup: ignoring input
torch.Size([403283, 50, 4]) torch.Size([403283, 50, 4])
torch.Size([198284, 50, 4]) torch.Size([198284, 50, 4])
Epoch 0: Train RMSE 0.0519, Test RMSE 0.0729
Epoch 1: Train RMSE 0.0487, Test RMSE 0.0675
Epoch 2: Train RMSE 0.0477, Test RMSE 0.0681
Epoch 3: Train RMSE 0.0470, Test RMSE 0.0666
Epoch 4: Train RMSE 0.0463, Test RMSE 0.0665
Epoch 5: Train RMSE 0.0456, Test RMSE 0.0656
Epoch 6: Train RMSE 0.0456, Test RMSE 0.0629
Epoch 7: Train RMSE 0.0455, Test RMSE 0.0699
Epoch 8: Train RMSE 0.0454, Test RMSE 0.0669
Epoch 9: Train RMSE 0.0441, Test RMSE 0.0656
Epoch 10: Train RMSE 0.0436, Test RMSE 0.0675
Epoch 11: Train RMSE 0.0436, Test RMSE 0.0666
Epoch 12: Train RMSE 0.0429, Test RMSE 0.0657
Epoch 13: Train RMSE 0.0433, Test RMSE 0.0654
Epoch 14: Train RMSE 0.0426, Test RMSE 0.0642
Epoch 15: Train RMSE 0.0427, Test RMSE 0.0648
Epoch 16: Train RMSE 0.0426, Test RMSE 0.0659
Epoch 17: Train RMSE 0.0423, Test RMSE 0.0652
Epoch 18: Train RMSE 0.0418, Test RMSE 0.0669
Epoch 19: Train RMSE 0.0416, Test RMSE 0.0669
Epoch 20: Train RMSE 0.0415, Test RMSE 0.0650
Epoch 21: Train RMSE 0.0417, Test RMSE 0.0663
Epoch 22: Train RMSE 0.0412, Test RMSE 0.0656
Epoch 23: Train RMSE 0.0414, Test RMSE 0.0656
Epoch 24: Train RMSE 0.0411, Test RMSE 0.0679
Epoch 25: Train RMSE 0.0407, Test RMSE 0.0651
Epoch 26: Train RMSE 0.0415, Test RMSE 0.0652
Epoch 27: Train RMSE 0.0409, Test RMSE 0.0663
Epoch 28: Train RMSE 0.0408, Test RMSE 0.0670
Epoch 29: Train RMSE 0.0410, Test RMSE 0.0645
Epoch 30: Train RMSE 0.0404, Test RMSE 0.0662
Epoch 31: Train RMSE 0.0406, Test RMSE 0.0649
Epoch 32: Train RMSE 0.0402, Test RMSE 0.0658
Epoch 33: Train RMSE 0.0400, Test RMSE 0.0642
Epoch 34: Train RMSE 0.0398, Test RMSE 0.0666
Epoch 35: Train RMSE 0.0400, Test RMSE 0.0660
Epoch 36: Train RMSE 0.0400, Test RMSE 0.0644
Epoch 37: Train RMSE 0.0397, Test RMSE 0.0649
Epoch 38: Train RMSE 0.0402, Test RMSE 0.0672
Epoch 39: Train RMSE 0.0396, Test RMSE 0.0658
Epoch 40: Train RMSE 0.0395, Test RMSE 0.0656
Epoch 41: Train RMSE 0.0394, Test RMSE 0.0662
Epoch 42: Train RMSE 0.0394, Test RMSE 0.0659
Epoch 43: Train RMSE 0.0393, Test RMSE 0.0654
Epoch 44: Train RMSE 0.0393, Test RMSE 0.0661
Epoch 45: Train RMSE 0.0392, Test RMSE 0.0666
Epoch 46: Train RMSE 0.0397, Test RMSE 0.0658
Epoch 47: Train RMSE 0.0391, Test RMSE 0.0653
Epoch 48: Train RMSE 0.0389, Test RMSE 0.0658
Epoch 49: Train RMSE 0.0390, Test RMSE 0.0663
Epoch 50: Train RMSE 0.0388, Test RMSE 0.0664
Epoch 51: Train RMSE 0.0397, Test RMSE 0.0662
Epoch 52: Train RMSE 0.0389, Test RMSE 0.0648
Epoch 53: Train RMSE 0.0392, Test RMSE 0.0663
Epoch 54: Train RMSE 0.0389, Test RMSE 0.0661
Epoch 55: Train RMSE 0.0387, Test RMSE 0.0654
Epoch 56: Train RMSE 0.0387, Test RMSE 0.0655
Epoch 57: Train RMSE 0.0387, Test RMSE 0.0646
Epoch 58: Train RMSE 0.0387, Test RMSE 0.0677
Epoch 59: Train RMSE 0.0384, Test RMSE 0.0651
Epoch 60: Train RMSE 0.0385, Test RMSE 0.0659
Epoch 61: Train RMSE 0.0385, Test RMSE 0.0667
Epoch 62: Train RMSE 0.0383, Test RMSE 0.0678
Epoch 63: Train RMSE 0.0383, Test RMSE 0.0653
Epoch 64: Train RMSE 0.0383, Test RMSE 0.0669
Epoch 65: Train RMSE 0.0381, Test RMSE 0.0652
Epoch 66: Train RMSE 0.0384, Test RMSE 0.0658
Epoch 67: Train RMSE 0.0382, Test RMSE 0.0664
Epoch 68: Train RMSE 0.0382, Test RMSE 0.0666
Epoch 69: Train RMSE 0.0385, Test RMSE 0.0670
Epoch 70: Train RMSE 0.0381, Test RMSE 0.0663
Epoch 71: Train RMSE 0.0378, Test RMSE 0.0653
Epoch 72: Train RMSE 0.0380, Test RMSE 0.0647
Epoch 73: Train RMSE 0.0383, Test RMSE 0.0652
Epoch 74: Train RMSE 0.0379, Test RMSE 0.0656
Epoch 75: Train RMSE 0.0383, Test RMSE 0.0649
Epoch 76: Train RMSE 0.0385, Test RMSE 0.0656
Epoch 77: Train RMSE 0.0378, Test RMSE 0.0658
Epoch 78: Train RMSE 0.0378, Test RMSE 0.0654
Epoch 79: Train RMSE 0.0380, Test RMSE 0.0664
Epoch 80: Train RMSE 0.0378, Test RMSE 0.0663
Epoch 81: Train RMSE 0.0379, Test RMSE 0.0647
Epoch 82: Train RMSE 0.0381, Test RMSE 0.0645
Epoch 83: Train RMSE 0.0376, Test RMSE 0.0658
Epoch 84: Train RMSE 0.0379, Test RMSE 0.0647
Epoch 85: Train RMSE 0.0377, Test RMSE 0.0657
Epoch 86: Train RMSE 0.0376, Test RMSE 0.0652
Epoch 87: Train RMSE 0.0376, Test RMSE 0.0657
Epoch 88: Train RMSE 0.0377, Test RMSE 0.0663
Epoch 89: Train RMSE 0.0376, Test RMSE 0.0650
Epoch 90: Train RMSE 0.0375, Test RMSE 0.0651
Epoch 91: Train RMSE 0.0374, Test RMSE 0.0664
Epoch 92: Train RMSE 0.0374, Test RMSE 0.0653
Epoch 93: Train RMSE 0.0375, Test RMSE 0.0656
