nohup: ignoring input
/home/gsm0197/sralab_working/lstm_FullData/trial3/lstm.py:147: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_FullData/trial3/lstm.py:149: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  valid_rmse = np.sqrt(loss_fn(y_pred, y_valid))
torch.Size([1141007, 50, 8]) torch.Size([1141007, 50, 4])
torch.Size([148331, 50, 8]) torch.Size([148331, 50, 4])
Epoch 0: Train RMSE 0.0588, Validation RMSE 0.1015
Epoch 1: Train RMSE 0.0608, Validation RMSE 0.1115
Epoch 2: Train RMSE 0.0547, Validation RMSE 0.1081
Epoch 3: Train RMSE 0.0553, Validation RMSE 0.1022
Epoch 4: Train RMSE 0.0547, Validation RMSE 0.1064
Epoch 5: Train RMSE 0.0568, Validation RMSE 0.1112
Epoch 6: Train RMSE 0.0530, Validation RMSE 0.1181
Epoch 7: Train RMSE 0.0534, Validation RMSE 0.1188
Epoch 8: Train RMSE 0.0527, Validation RMSE 0.1136
Epoch 9: Train RMSE 0.0528, Validation RMSE 0.1105
Epoch 10: Train RMSE 0.0491, Validation RMSE 0.1092
Epoch 11: Train RMSE 0.0508, Validation RMSE 0.1083
Epoch 12: Train RMSE 0.0524, Validation RMSE 0.1127
Epoch 13: Train RMSE 0.0491, Validation RMSE 0.1135
Epoch 14: Train RMSE 0.0501, Validation RMSE 0.1106
Epoch 15: Train RMSE 0.0486, Validation RMSE 0.1072
Epoch 16: Train RMSE 0.0533, Validation RMSE 0.1192
Epoch 17: Train RMSE 0.0544, Validation RMSE 0.1123
Epoch 18: Train RMSE 0.0523, Validation RMSE 0.1061
Epoch 19: Train RMSE 0.0471, Validation RMSE 0.1079
Epoch 20: Train RMSE 0.0472, Validation RMSE 0.1101
Epoch 21: Train RMSE 0.0500, Validation RMSE 0.1089
Epoch 22: Train RMSE 0.0478, Validation RMSE 0.1072
Epoch 23: Train RMSE 0.0468, Validation RMSE 0.1092
Epoch 24: Train RMSE 0.0497, Validation RMSE 0.1035
Epoch 25: Train RMSE 0.0477, Validation RMSE 0.1131
Epoch 26: Train RMSE 0.0487, Validation RMSE 0.1065
Epoch 27: Train RMSE 0.0464, Validation RMSE 0.1116
Epoch 28: Train RMSE 0.0470, Validation RMSE 0.1115
Epoch 29: Train RMSE 0.0491, Validation RMSE 0.1156
Epoch 30: Train RMSE 0.0473, Validation RMSE 0.1096
Epoch 31: Train RMSE 0.0470, Validation RMSE 0.1131
Epoch 32: Train RMSE 0.0478, Validation RMSE 0.1150
Epoch 33: Train RMSE 0.0470, Validation RMSE 0.1128
Epoch 34: Train RMSE 0.0457, Validation RMSE 0.1148
Epoch 35: Train RMSE 0.0489, Validation RMSE 0.1068
Epoch 36: Train RMSE 0.0463, Validation RMSE 0.1136
Epoch 37: Train RMSE 0.0507, Validation RMSE 0.1173
Epoch 38: Train RMSE 0.0462, Validation RMSE 0.1114
Epoch 39: Train RMSE 0.0479, Validation RMSE 0.1214
Epoch 40: Train RMSE 0.0464, Validation RMSE 0.1149
Epoch 41: Train RMSE 0.0461, Validation RMSE 0.1116
Epoch 42: Train RMSE 0.0456, Validation RMSE 0.1156
Epoch 43: Train RMSE 0.0467, Validation RMSE 0.1132
Epoch 44: Train RMSE 0.0461, Validation RMSE 0.1125
Epoch 45: Train RMSE 0.0459, Validation RMSE 0.1112
Epoch 46: Train RMSE 0.0453, Validation RMSE 0.1111
Epoch 47: Train RMSE 0.0442, Validation RMSE 0.1126
Epoch 48: Train RMSE 0.0475, Validation RMSE 0.1164
Epoch 49: Train RMSE 0.0469, Validation RMSE 0.1107
Epoch 50: Train RMSE 0.0457, Validation RMSE 0.1099
Epoch 51: Train RMSE 0.0458, Validation RMSE 0.1117
Epoch 52: Train RMSE 0.0458, Validation RMSE 0.1149
Epoch 53: Train RMSE 0.0456, Validation RMSE 0.1086
Epoch 54: Train RMSE 0.0448, Validation RMSE 0.1100
Epoch 55: Train RMSE 0.0437, Validation RMSE 0.1156
Epoch 56: Train RMSE 0.0464, Validation RMSE 0.1148
Epoch 57: Train RMSE 0.0461, Validation RMSE 0.1108
Epoch 58: Train RMSE 0.0439, Validation RMSE 0.1128
Epoch 59: Train RMSE 0.0462, Validation RMSE 0.1188
Epoch 60: Train RMSE 0.0440, Validation RMSE 0.1151
Epoch 61: Train RMSE 0.0454, Validation RMSE 0.1163
Epoch 62: Train RMSE 0.0447, Validation RMSE 0.1165
Epoch 63: Train RMSE 0.0441, Validation RMSE 0.1140
Epoch 64: Train RMSE 0.0440, Validation RMSE 0.1117
Epoch 65: Train RMSE 0.0438, Validation RMSE 0.1118
Epoch 66: Train RMSE 0.0437, Validation RMSE 0.1183
Epoch 67: Train RMSE 0.0452, Validation RMSE 0.1120
Epoch 68: Train RMSE 0.0439, Validation RMSE 0.1078
Epoch 69: Train RMSE 0.0436, Validation RMSE 0.1113
Epoch 70: Train RMSE 0.0445, Validation RMSE 0.1155
Epoch 71: Train RMSE 0.0435, Validation RMSE 0.1129
Epoch 72: Train RMSE 0.0460, Validation RMSE 0.1204
Epoch 73: Train RMSE 0.0433, Validation RMSE 0.1160
Epoch 74: Train RMSE 0.0437, Validation RMSE 0.1153
Epoch 75: Train RMSE 0.0447, Validation RMSE 0.1179
Epoch 76: Train RMSE 0.0429, Validation RMSE 0.1155
Epoch 77: Train RMSE 0.0446, Validation RMSE 0.1167
Epoch 78: Train RMSE 0.0431, Validation RMSE 0.1166
Epoch 79: Train RMSE 0.0447, Validation RMSE 0.1164
Epoch 80: Train RMSE 0.0427, Validation RMSE 0.1131
Epoch 81: Train RMSE 0.0438, Validation RMSE 0.1160
Epoch 82: Train RMSE 0.0437, Validation RMSE 0.1153
Epoch 83: Train RMSE 0.0422, Validation RMSE 0.1140
Epoch 84: Train RMSE 0.0424, Validation RMSE 0.1146
Epoch 85: Train RMSE 0.0450, Validation RMSE 0.1124
Epoch 86: Train RMSE 0.0426, Validation RMSE 0.1129
Epoch 87: Train RMSE 0.0459, Validation RMSE 0.1189
Epoch 88: Train RMSE 0.0427, Validation RMSE 0.1170
Epoch 89: Train RMSE 0.0425, Validation RMSE 0.1143
Epoch 90: Train RMSE 0.0424, Validation RMSE 0.1159
Epoch 91: Train RMSE 0.0432, Validation RMSE 0.1128
Epoch 92: Train RMSE 0.0422, Validation RMSE 0.1167
Epoch 93: Train RMSE 0.0432, Validation RMSE 0.1170
Epoch 94: Train RMSE 0.0418, Validation RMSE 0.1144
Epoch 95: Train RMSE 0.0425, Validation RMSE 0.1205
Epoch 96: Train RMSE 0.0430, Validation RMSE 0.1141
Epoch 97: Train RMSE 0.0429, Validation RMSE 0.1133
Epoch 98: Train RMSE 0.0435, Validation RMSE 0.1159
Epoch 99: Train RMSE 0.0429, Validation RMSE 0.1161
Epoch 100: Train RMSE 0.0424, Validation RMSE 0.1174
Epoch 101: Train RMSE 0.0434, Validation RMSE 0.1166
Epoch 102: Train RMSE 0.0420, Validation RMSE 0.1139
Epoch 103: Train RMSE 0.0413, Validation RMSE 0.1186
Epoch 104: Train RMSE 0.0438, Validation RMSE 0.1138
Epoch 105: Train RMSE 0.0429, Validation RMSE 0.1113
Epoch 106: Train RMSE 0.0423, Validation RMSE 0.1212
Epoch 107: Train RMSE 0.0435, Validation RMSE 0.1129
Epoch 108: Train RMSE 0.0440, Validation RMSE 0.1165
Epoch 109: Train RMSE 0.0431, Validation RMSE 0.1153
Epoch 110: Train RMSE 0.0426, Validation RMSE 0.1175
Epoch 111: Train RMSE 0.0418, Validation RMSE 0.1155
Epoch 112: Train RMSE 0.0442, Validation RMSE 0.1122
Epoch 113: Train RMSE 0.0425, Validation RMSE 0.1168
Epoch 114: Train RMSE 0.0428, Validation RMSE 0.1211
Epoch 115: Train RMSE 0.0424, Validation RMSE 0.1184
