nohup: ignoring input
/home/gsm0197/sralab_working/lstm_singleJoint/trial6/lstm.py:120: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_singleJoint/trial6/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
torch.Size([403283, 50, 1]) torch.Size([403283, 50, 1])
torch.Size([198284, 50, 1]) torch.Size([198284, 50, 1])
Epoch 0: Train RMSE 0.0641, Test RMSE 0.0844
Epoch 1: Train RMSE 0.0578, Test RMSE 0.0803
Epoch 2: Train RMSE 0.0567, Test RMSE 0.0790
Epoch 3: Train RMSE 0.0555, Test RMSE 0.0749
Epoch 4: Train RMSE 0.0552, Test RMSE 0.0738
Epoch 5: Train RMSE 0.0557, Test RMSE 0.0740
Epoch 6: Train RMSE 0.0565, Test RMSE 0.0727
Epoch 7: Train RMSE 0.0543, Test RMSE 0.0741
Epoch 8: Train RMSE 0.0537, Test RMSE 0.0722
Epoch 9: Train RMSE 0.0531, Test RMSE 0.0724
Epoch 10: Train RMSE 0.0545, Test RMSE 0.0742
Epoch 11: Train RMSE 0.0530, Test RMSE 0.0731
Epoch 12: Train RMSE 0.0528, Test RMSE 0.0743
Epoch 13: Train RMSE 0.0524, Test RMSE 0.0730
Epoch 14: Train RMSE 0.0525, Test RMSE 0.0743
Epoch 15: Train RMSE 0.0524, Test RMSE 0.0726
Epoch 16: Train RMSE 0.0522, Test RMSE 0.0718
Epoch 17: Train RMSE 0.0522, Test RMSE 0.0720
Epoch 18: Train RMSE 0.0521, Test RMSE 0.0738
Epoch 19: Train RMSE 0.0515, Test RMSE 0.0722
Epoch 20: Train RMSE 0.0526, Test RMSE 0.0745
Epoch 21: Train RMSE 0.0522, Test RMSE 0.0733
Epoch 22: Train RMSE 0.0513, Test RMSE 0.0716
Epoch 23: Train RMSE 0.0520, Test RMSE 0.0722
Epoch 24: Train RMSE 0.0512, Test RMSE 0.0716
Epoch 25: Train RMSE 0.0518, Test RMSE 0.0709
Epoch 26: Train RMSE 0.0512, Test RMSE 0.0704
Epoch 27: Train RMSE 0.0513, Test RMSE 0.0708
Epoch 28: Train RMSE 0.0510, Test RMSE 0.0705
Epoch 29: Train RMSE 0.0517, Test RMSE 0.0718
Epoch 30: Train RMSE 0.0510, Test RMSE 0.0722
Epoch 31: Train RMSE 0.0509, Test RMSE 0.0717
Epoch 32: Train RMSE 0.0509, Test RMSE 0.0712
Epoch 33: Train RMSE 0.0514, Test RMSE 0.0724
Epoch 34: Train RMSE 0.0507, Test RMSE 0.0717
Epoch 35: Train RMSE 0.0507, Test RMSE 0.0714
