nohup: ignoring input
/home/gsm0197/sralab_working/lstm_4to1/trial1/lstm.py:120: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to1/trial1/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
torch.Size([403283, 50, 4]) torch.Size([403283, 50, 1])
torch.Size([198284, 50, 4]) torch.Size([198284, 50, 1])
Epoch 0: Train RMSE 0.0491, Test RMSE 0.0596
Epoch 1: Train RMSE 0.0471, Test RMSE 0.0575
Epoch 2: Train RMSE 0.0466, Test RMSE 0.0543
Epoch 3: Train RMSE 0.0459, Test RMSE 0.0550
Epoch 4: Train RMSE 0.0446, Test RMSE 0.0553
Epoch 5: Train RMSE 0.0437, Test RMSE 0.0538
Epoch 6: Train RMSE 0.0435, Test RMSE 0.0544
Epoch 7: Train RMSE 0.0432, Test RMSE 0.0534
Epoch 8: Train RMSE 0.0431, Test RMSE 0.0531
Epoch 9: Train RMSE 0.0428, Test RMSE 0.0535
Epoch 10: Train RMSE 0.0423, Test RMSE 0.0513
Epoch 11: Train RMSE 0.0419, Test RMSE 0.0523
Epoch 12: Train RMSE 0.0419, Test RMSE 0.0509
Epoch 13: Train RMSE 0.0413, Test RMSE 0.0543
Epoch 14: Train RMSE 0.0413, Test RMSE 0.0533
Epoch 15: Train RMSE 0.0411, Test RMSE 0.0529
Epoch 16: Train RMSE 0.0412, Test RMSE 0.0552
Epoch 17: Train RMSE 0.0409, Test RMSE 0.0536
Epoch 18: Train RMSE 0.0406, Test RMSE 0.0525
Epoch 19: Train RMSE 0.0402, Test RMSE 0.0527
Epoch 20: Train RMSE 0.0399, Test RMSE 0.0538
Epoch 21: Train RMSE 0.0407, Test RMSE 0.0557
Epoch 22: Train RMSE 0.0400, Test RMSE 0.0553
Epoch 23: Train RMSE 0.0400, Test RMSE 0.0536
Epoch 24: Train RMSE 0.0394, Test RMSE 0.0533
Epoch 25: Train RMSE 0.0393, Test RMSE 0.0525
Epoch 26: Train RMSE 0.0394, Test RMSE 0.0539
Epoch 27: Train RMSE 0.0393, Test RMSE 0.0539
Epoch 28: Train RMSE 0.0392, Test RMSE 0.0537
Epoch 29: Train RMSE 0.0386, Test RMSE 0.0535
Epoch 30: Train RMSE 0.0394, Test RMSE 0.0525
Epoch 31: Train RMSE 0.0391, Test RMSE 0.0543
Epoch 32: Train RMSE 0.0386, Test RMSE 0.0545
Epoch 33: Train RMSE 0.0384, Test RMSE 0.0537
Epoch 34: Train RMSE 0.0387, Test RMSE 0.0544
Epoch 35: Train RMSE 0.0382, Test RMSE 0.0546
Epoch 36: Train RMSE 0.0384, Test RMSE 0.0541
Epoch 37: Train RMSE 0.0391, Test RMSE 0.0529
Epoch 38: Train RMSE 0.0388, Test RMSE 0.0567
Epoch 39: Train RMSE 0.0382, Test RMSE 0.0536
Epoch 40: Train RMSE 0.0379, Test RMSE 0.0550
Epoch 41: Train RMSE 0.0378, Test RMSE 0.0545
Epoch 42: Train RMSE 0.0377, Test RMSE 0.0543
Epoch 43: Train RMSE 0.0377, Test RMSE 0.0534
Epoch 44: Train RMSE 0.0378, Test RMSE 0.0548
Epoch 45: Train RMSE 0.0376, Test RMSE 0.0551
Epoch 46: Train RMSE 0.0380, Test RMSE 0.0537
Epoch 47: Train RMSE 0.0375, Test RMSE 0.0552
Epoch 48: Train RMSE 0.0373, Test RMSE 0.0555
Epoch 49: Train RMSE 0.0374, Test RMSE 0.0548
Epoch 50: Train RMSE 0.0370, Test RMSE 0.0547
Epoch 51: Train RMSE 0.0370, Test RMSE 0.0545
Epoch 52: Train RMSE 0.0377, Test RMSE 0.0551
Epoch 53: Train RMSE 0.0371, Test RMSE 0.0552
Epoch 54: Train RMSE 0.0377, Test RMSE 0.0546
Epoch 55: Train RMSE 0.0371, Test RMSE 0.0560
Epoch 56: Train RMSE 0.0379, Test RMSE 0.0540
Epoch 57: Train RMSE 0.0373, Test RMSE 0.0554
Epoch 58: Train RMSE 0.0364, Test RMSE 0.0559
Epoch 59: Train RMSE 0.0367, Test RMSE 0.0547
Epoch 60: Train RMSE 0.0366, Test RMSE 0.0547
Epoch 61: Train RMSE 0.0372, Test RMSE 0.0563
Epoch 62: Train RMSE 0.0364, Test RMSE 0.0537
Epoch 63: Train RMSE 0.0370, Test RMSE 0.0557
Epoch 64: Train RMSE 0.0366, Test RMSE 0.0550
Epoch 65: Train RMSE 0.0360, Test RMSE 0.0556
Epoch 66: Train RMSE 0.0364, Test RMSE 0.0548
Epoch 67: Train RMSE 0.0365, Test RMSE 0.0544
Epoch 68: Train RMSE 0.0358, Test RMSE 0.0569
Epoch 69: Train RMSE 0.0361, Test RMSE 0.0550
Epoch 70: Train RMSE 0.0364, Test RMSE 0.0572
Epoch 71: Train RMSE 0.0363, Test RMSE 0.0570
Epoch 72: Train RMSE 0.0360, Test RMSE 0.0555
Epoch 73: Train RMSE 0.0360, Test RMSE 0.0545
