nohup: ignoring input
/home/gsm0197/sralab_working/lstm_4to4_BigData/trial2/lstm.py:147: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to4_BigData/trial2/lstm.py:149: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  valid_rmse = np.sqrt(loss_fn(y_pred, y_valid))
torch.Size([1141007, 50, 8]) torch.Size([1141007, 50, 4])
torch.Size([148331, 50, 8]) torch.Size([148331, 50, 4])
Epoch 0: Train RMSE 0.0505, Validation RMSE 0.1092
Epoch 1: Train RMSE 0.0464, Validation RMSE 0.1131
Epoch 2: Train RMSE 0.0464, Validation RMSE 0.1144
Epoch 3: Train RMSE 0.0441, Validation RMSE 0.1169
Epoch 4: Train RMSE 0.0427, Validation RMSE 0.1215
Epoch 5: Train RMSE 0.0421, Validation RMSE 0.1184
Epoch 6: Train RMSE 0.0430, Validation RMSE 0.1194
Epoch 7: Train RMSE 0.0410, Validation RMSE 0.1214
Epoch 8: Train RMSE 0.0404, Validation RMSE 0.1191
Epoch 9: Train RMSE 0.0406, Validation RMSE 0.1223
Epoch 10: Train RMSE 0.0400, Validation RMSE 0.1175
Epoch 11: Train RMSE 0.0398, Validation RMSE 0.1190
Epoch 12: Train RMSE 0.0405, Validation RMSE 0.1176
Epoch 13: Train RMSE 0.0395, Validation RMSE 0.1159
Epoch 14: Train RMSE 0.0389, Validation RMSE 0.1244
Epoch 15: Train RMSE 0.0390, Validation RMSE 0.1231
Epoch 16: Train RMSE 0.0386, Validation RMSE 0.1237
Epoch 17: Train RMSE 0.0388, Validation RMSE 0.1283
Epoch 18: Train RMSE 0.0386, Validation RMSE 0.1270
Epoch 19: Train RMSE 0.0390, Validation RMSE 0.1248
Epoch 20: Train RMSE 0.0404, Validation RMSE 0.1263
Epoch 21: Train RMSE 0.0382, Validation RMSE 0.1273
Epoch 22: Train RMSE 0.0381, Validation RMSE 0.1243
Epoch 23: Train RMSE 0.0382, Validation RMSE 0.1243
Epoch 24: Train RMSE 0.0379, Validation RMSE 0.1272
Epoch 25: Train RMSE 0.0390, Validation RMSE 0.1267
Epoch 26: Train RMSE 0.0378, Validation RMSE 0.1288
Epoch 27: Train RMSE 0.0382, Validation RMSE 0.1261
Epoch 28: Train RMSE 0.0408, Validation RMSE 0.1239
Epoch 29: Train RMSE 0.0377, Validation RMSE 0.1244
Epoch 30: Train RMSE 0.0370, Validation RMSE 0.1263
Epoch 31: Train RMSE 0.0371, Validation RMSE 0.1237
Epoch 32: Train RMSE 0.0370, Validation RMSE 0.1265
Epoch 33: Train RMSE 0.0376, Validation RMSE 0.1288
Epoch 34: Train RMSE 0.0371, Validation RMSE 0.1252
Epoch 35: Train RMSE 0.0367, Validation RMSE 0.1256
Epoch 36: Train RMSE 0.0375, Validation RMSE 0.1244
Epoch 37: Train RMSE 0.0371, Validation RMSE 0.1245
Epoch 38: Train RMSE 0.0372, Validation RMSE 0.1237
Epoch 39: Train RMSE 0.0367, Validation RMSE 0.1246
Epoch 40: Train RMSE 0.0370, Validation RMSE 0.1249
Epoch 41: Train RMSE 0.0374, Validation RMSE 0.1220
Epoch 42: Train RMSE 0.0367, Validation RMSE 0.1224
Epoch 43: Train RMSE 0.0367, Validation RMSE 0.1229
Epoch 44: Train RMSE 0.0363, Validation RMSE 0.1240
Epoch 45: Train RMSE 0.0364, Validation RMSE 0.1254
Epoch 46: Train RMSE 0.0366, Validation RMSE 0.1222
Epoch 47: Train RMSE 0.0365, Validation RMSE 0.1256
Epoch 48: Train RMSE 0.0363, Validation RMSE 0.1227
Epoch 49: Train RMSE 0.0363, Validation RMSE 0.1210
Epoch 50: Train RMSE 0.0366, Validation RMSE 0.1211
Epoch 51: Train RMSE 0.0368, Validation RMSE 0.1218
Epoch 52: Train RMSE 0.0366, Validation RMSE 0.1205
Epoch 53: Train RMSE 0.0366, Validation RMSE 0.1231
Epoch 54: Train RMSE 0.0362, Validation RMSE 0.1240
Epoch 55: Train RMSE 0.0361, Validation RMSE 0.1238
Epoch 56: Train RMSE 0.0368, Validation RMSE 0.1224
Epoch 57: Train RMSE 0.0363, Validation RMSE 0.1203
Epoch 58: Train RMSE 0.0360, Validation RMSE 0.1213
Epoch 59: Train RMSE 0.0360, Validation RMSE 0.1218
Epoch 60: Train RMSE 0.0361, Validation RMSE 0.1209
Epoch 61: Train RMSE 0.0362, Validation RMSE 0.1216
Epoch 62: Train RMSE 0.0359, Validation RMSE 0.1226
Epoch 63: Train RMSE 0.0361, Validation RMSE 0.1213
Epoch 64: Train RMSE 0.0358, Validation RMSE 0.1242
Epoch 65: Train RMSE 0.0358, Validation RMSE 0.1216
Epoch 66: Train RMSE 0.0359, Validation RMSE 0.1205
Epoch 67: Train RMSE 0.0367, Validation RMSE 0.1196
Epoch 68: Train RMSE 0.0378, Validation RMSE 0.1187
Epoch 69: Train RMSE 0.0361, Validation RMSE 0.1220
Epoch 70: Train RMSE 0.0358, Validation RMSE 0.1221
Epoch 71: Train RMSE 0.0360, Validation RMSE 0.1214
Epoch 72: Train RMSE 0.0356, Validation RMSE 0.1193
Epoch 73: Train RMSE 0.0358, Validation RMSE 0.1193
Epoch 74: Train RMSE 0.0367, Validation RMSE 0.1172
Epoch 75: Train RMSE 0.0365, Validation RMSE 0.1200
Epoch 76: Train RMSE 0.0364, Validation RMSE 0.1181
Epoch 77: Train RMSE 0.0358, Validation RMSE 0.1183
Epoch 78: Train RMSE 0.0357, Validation RMSE 0.1200
Epoch 79: Train RMSE 0.0358, Validation RMSE 0.1186
Epoch 80: Train RMSE 0.0361, Validation RMSE 0.1192
Epoch 81: Train RMSE 0.0355, Validation RMSE 0.1189
Epoch 82: Train RMSE 0.0359, Validation RMSE 0.1198
Epoch 83: Train RMSE 0.0360, Validation RMSE 0.1185
Epoch 84: Train RMSE 0.0423, Validation RMSE 0.1188
Epoch 85: Train RMSE 0.0358, Validation RMSE 0.1185
Epoch 86: Train RMSE 0.0386, Validation RMSE 0.1175
Epoch 87: Train RMSE 0.0357, Validation RMSE 0.1174
Epoch 88: Train RMSE 0.0359, Validation RMSE 0.1189
Epoch 89: Train RMSE 0.0357, Validation RMSE 0.1195
Epoch 90: Train RMSE 0.0354, Validation RMSE 0.1179
Epoch 91: Train RMSE 0.0363, Validation RMSE 0.1178
Epoch 92: Train RMSE 0.0358, Validation RMSE 0.1164
Epoch 93: Train RMSE 0.0357, Validation RMSE 0.1187
Epoch 94: Train RMSE 0.0363, Validation RMSE 0.1161
Epoch 95: Train RMSE 0.0355, Validation RMSE 0.1179
Epoch 96: Train RMSE 0.0354, Validation RMSE 0.1174
Epoch 97: Train RMSE 0.0356, Validation RMSE 0.1184
Epoch 98: Train RMSE 0.0356, Validation RMSE 0.1201
Epoch 99: Train RMSE 0.0355, Validation RMSE 0.1199
Traceback (most recent call last):
  File "/home/gsm0197/sralab_working/lstm_4to4_BigData/trial2/lstm.py", line 192, in <module>
    valid_pred[lookback:valid_size] = valid_predictions
    ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
ValueError: could not broadcast input array from shape (593324,) into shape (148331,)
