nohup: ignoring input
/home/gsm0197/sralab_working/lstm_4to4_BigData/trial1/lstm.py:150: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to4_BigData/trial1/lstm.py:152: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  valid_rmse = np.sqrt(loss_fn(y_pred, y_valid))
torch.Size([1141007, 50, 4]) torch.Size([1141007, 50, 4])
torch.Size([156023, 50, 4]) torch.Size([156023, 50, 4])
Epoch 0: Train RMSE 0.0637, valid RMSE 0.1658
Epoch 1: Train RMSE 0.0567, valid RMSE 0.1678
Epoch 2: Train RMSE 0.0550, valid RMSE 0.1671
Epoch 3: Train RMSE 0.0542, valid RMSE 0.1650
Epoch 4: Train RMSE 0.0516, valid RMSE 0.1681
Epoch 5: Train RMSE 0.0507, valid RMSE 0.1659
Epoch 6: Train RMSE 0.0505, valid RMSE 0.1635
Epoch 7: Train RMSE 0.0491, valid RMSE 0.1650
Epoch 8: Train RMSE 0.0489, valid RMSE 0.1592
Epoch 9: Train RMSE 0.0482, valid RMSE 0.1631
Epoch 10: Train RMSE 0.0477, valid RMSE 0.1595
Epoch 11: Train RMSE 0.0473, valid RMSE 0.1608
Epoch 12: Train RMSE 0.0477, valid RMSE 0.1583
Epoch 13: Train RMSE 0.0472, valid RMSE 0.1607
Epoch 14: Train RMSE 0.0468, valid RMSE 0.1599
Epoch 15: Train RMSE 0.0465, valid RMSE 0.1577
Epoch 16: Train RMSE 0.0467, valid RMSE 0.1619
Epoch 17: Train RMSE 0.0464, valid RMSE 0.1616
Epoch 18: Train RMSE 0.0458, valid RMSE 0.1616
Epoch 19: Train RMSE 0.0460, valid RMSE 0.1614
Epoch 20: Train RMSE 0.0465, valid RMSE 0.1603
Epoch 21: Train RMSE 0.0464, valid RMSE 0.1635
Epoch 22: Train RMSE 0.0457, valid RMSE 0.1613
Epoch 23: Train RMSE 0.0458, valid RMSE 0.1604
Epoch 24: Train RMSE 0.0451, valid RMSE 0.1603
Epoch 25: Train RMSE 0.0452, valid RMSE 0.1605
Epoch 26: Train RMSE 0.0548, valid RMSE 0.1563
Epoch 27: Train RMSE 0.0453, valid RMSE 0.1621
Epoch 28: Train RMSE 0.0450, valid RMSE 0.1598
Epoch 29: Train RMSE 0.0449, valid RMSE 0.1617
Epoch 30: Train RMSE 0.0449, valid RMSE 0.1616
Epoch 31: Train RMSE 0.0454, valid RMSE 0.1627
Epoch 32: Train RMSE 0.0449, valid RMSE 0.1622
Epoch 33: Train RMSE 0.0445, valid RMSE 0.1609
Epoch 34: Train RMSE 0.0445, valid RMSE 0.1627
Epoch 35: Train RMSE 0.0443, valid RMSE 0.1599
Epoch 36: Train RMSE 0.0452, valid RMSE 0.1603
Epoch 37: Train RMSE 0.0446, valid RMSE 0.1597
Epoch 38: Train RMSE 0.0443, valid RMSE 0.1629
Epoch 39: Train RMSE 0.0446, valid RMSE 0.1645
Epoch 40: Train RMSE 0.0441, valid RMSE 0.1615
Epoch 41: Train RMSE 0.0440, valid RMSE 0.1646
Epoch 42: Train RMSE 0.0439, valid RMSE 0.1627
Epoch 43: Train RMSE 0.0443, valid RMSE 0.1603
Epoch 44: Train RMSE 0.0442, valid RMSE 0.1600
Epoch 45: Train RMSE 0.0441, valid RMSE 0.1637
Epoch 46: Train RMSE 0.0435, valid RMSE 0.1614
Epoch 47: Train RMSE 0.0437, valid RMSE 0.1607
Epoch 48: Train RMSE 0.0469, valid RMSE 0.1601
Epoch 49: Train RMSE 0.0437, valid RMSE 0.1627
Epoch 50: Train RMSE 0.0435, valid RMSE 0.1622
Epoch 51: Train RMSE 0.0446, valid RMSE 0.1626
Epoch 52: Train RMSE 0.0438, valid RMSE 0.1613
Epoch 53: Train RMSE 0.0437, valid RMSE 0.1623
Epoch 54: Train RMSE 0.0436, valid RMSE 0.1629
Epoch 55: Train RMSE 0.0435, valid RMSE 0.1612
Epoch 56: Train RMSE 0.0439, valid RMSE 0.1610
Epoch 57: Train RMSE 0.0435, valid RMSE 0.1631
Epoch 58: Train RMSE 0.0435, valid RMSE 0.1639
Epoch 59: Train RMSE 0.0435, valid RMSE 0.1589
Epoch 60: Train RMSE 0.0433, valid RMSE 0.1637
Epoch 61: Train RMSE 0.0433, valid RMSE 0.1612
Epoch 62: Train RMSE 0.0433, valid RMSE 0.1644
Epoch 63: Train RMSE 0.0432, valid RMSE 0.1646
