nohup: ignoring input
/home/gsm0197/sralab_working/venv/lib/python3.12/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.2 and num_layers=1
  warnings.warn(
/home/gsm0197/sralab_working/lstm_FullData/trial4/lstm.py:186: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_FullData/trial4/lstm.py:188: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  valid_rmse = np.sqrt(loss_fn(y_pred, y_valid))
torch.Size([999215, 50, 8]) torch.Size([999215, 50, 4])
torch.Size([285455, 50, 8]) torch.Size([285455, 50, 4])
Epoch 0: Train RMSE 0.1802, Validation RMSE 0.1860
Epoch 1: Train RMSE 0.1327, Validation RMSE 0.1429
Epoch 2: Train RMSE 0.1018, Validation RMSE 0.1140
Epoch 3: Train RMSE 0.0838, Validation RMSE 0.0970
Epoch 4: Train RMSE 0.0733, Validation RMSE 0.0875
Epoch 5: Train RMSE 0.0672, Validation RMSE 0.0819
Epoch 6: Train RMSE 0.0633, Validation RMSE 0.0781
Epoch 7: Train RMSE 0.0607, Validation RMSE 0.0755
Epoch 8: Train RMSE 0.0588, Validation RMSE 0.0738
Epoch 9: Train RMSE 0.0575, Validation RMSE 0.0727
Epoch 10: Train RMSE 0.0565, Validation RMSE 0.0719
Epoch 11: Train RMSE 0.0557, Validation RMSE 0.0713
Epoch 12: Train RMSE 0.0551, Validation RMSE 0.0707
Epoch 13: Train RMSE 0.0546, Validation RMSE 0.0702
Epoch 14: Train RMSE 0.0542, Validation RMSE 0.0698
Epoch 15: Train RMSE 0.0539, Validation RMSE 0.0696
Epoch 16: Train RMSE 0.0536, Validation RMSE 0.0693
Epoch 17: Train RMSE 0.0533, Validation RMSE 0.0690
Epoch 18: Train RMSE 0.0530, Validation RMSE 0.0689
Epoch 19: Train RMSE 0.0528, Validation RMSE 0.0687
Epoch 20: Train RMSE 0.0526, Validation RMSE 0.0688
Epoch 21: Train RMSE 0.0524, Validation RMSE 0.0683
Epoch 22: Train RMSE 0.0522, Validation RMSE 0.0683
Epoch 23: Train RMSE 0.0521, Validation RMSE 0.0683
Epoch 24: Train RMSE 0.0519, Validation RMSE 0.0679
Epoch 25: Train RMSE 0.0518, Validation RMSE 0.0680
Epoch 26: Train RMSE 0.0516, Validation RMSE 0.0677
Epoch 27: Train RMSE 0.0515, Validation RMSE 0.0679
Epoch 28: Train RMSE 0.0514, Validation RMSE 0.0676
Epoch 29: Train RMSE 0.0512, Validation RMSE 0.0675
Epoch 30: Train RMSE 0.0511, Validation RMSE 0.0676
Epoch 31: Train RMSE 0.0510, Validation RMSE 0.0674
Epoch 32: Train RMSE 0.0509, Validation RMSE 0.0676
Epoch 33: Train RMSE 0.0508, Validation RMSE 0.0672
Epoch 34: Train RMSE 0.0507, Validation RMSE 0.0672
Epoch 35: Train RMSE 0.0506, Validation RMSE 0.0672
Epoch 36: Train RMSE 0.0505, Validation RMSE 0.0673
Epoch 37: Train RMSE 0.0504, Validation RMSE 0.0671
Epoch 38: Train RMSE 0.0503, Validation RMSE 0.0670
Epoch 39: Train RMSE 0.0502, Validation RMSE 0.0669
Epoch 40: Train RMSE 0.0502, Validation RMSE 0.0670
Epoch 41: Train RMSE 0.0501, Validation RMSE 0.0667
Epoch 42: Train RMSE 0.0500, Validation RMSE 0.0670
Epoch 43: Train RMSE 0.0499, Validation RMSE 0.0668
Epoch 44: Train RMSE 0.0498, Validation RMSE 0.0669
Epoch 45: Train RMSE 0.0498, Validation RMSE 0.0665
Epoch 46: Train RMSE 0.0497, Validation RMSE 0.0665
Epoch 47: Train RMSE 0.0496, Validation RMSE 0.0663
Epoch 48: Train RMSE 0.0496, Validation RMSE 0.0664
Epoch 49: Train RMSE 0.0495, Validation RMSE 0.0662
Epoch 50: Train RMSE 0.0494, Validation RMSE 0.0663
Epoch 51: Train RMSE 0.0494, Validation RMSE 0.0663
Epoch 52: Train RMSE 0.0493, Validation RMSE 0.0663
Epoch 53: Train RMSE 0.0493, Validation RMSE 0.0663
Epoch 54: Train RMSE 0.0492, Validation RMSE 0.0660
Epoch 55: Train RMSE 0.0492, Validation RMSE 0.0662
Epoch 56: Train RMSE 0.0491, Validation RMSE 0.0658
