nohup: ignoring input
/home/gsm0197/sralab_working/lstm_FullData/trial5/lstm.py:184: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_FullData/trial5/lstm.py:186: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  valid_rmse = np.sqrt(loss_fn(y_pred, y_valid))
torch.Size([999215, 50, 11]) torch.Size([999215, 50, 4])
torch.Size([285455, 50, 11]) torch.Size([285455, 50, 4])
Epoch 0: Train RMSE 0.1709, Validation RMSE 0.1791
Epoch 1: Train RMSE 0.1244, Validation RMSE 0.1363
Epoch 2: Train RMSE 0.0958, Validation RMSE 0.1080
Epoch 3: Train RMSE 0.0798, Validation RMSE 0.0924
Epoch 4: Train RMSE 0.0706, Validation RMSE 0.0843
Epoch 5: Train RMSE 0.0650, Validation RMSE 0.0798
Epoch 6: Train RMSE 0.0611, Validation RMSE 0.0765
Epoch 7: Train RMSE 0.0585, Validation RMSE 0.0743
Epoch 8: Train RMSE 0.0567, Validation RMSE 0.0724
Epoch 9: Train RMSE 0.0553, Validation RMSE 0.0714
Epoch 10: Train RMSE 0.0543, Validation RMSE 0.0701
Epoch 11: Train RMSE 0.0535, Validation RMSE 0.0694
Epoch 12: Train RMSE 0.0528, Validation RMSE 0.0687
Epoch 13: Train RMSE 0.0523, Validation RMSE 0.0684
Epoch 14: Train RMSE 0.0518, Validation RMSE 0.0679
Epoch 15: Train RMSE 0.0514, Validation RMSE 0.0677
Epoch 16: Train RMSE 0.0510, Validation RMSE 0.0674
Epoch 17: Train RMSE 0.0507, Validation RMSE 0.0669
Epoch 18: Train RMSE 0.0504, Validation RMSE 0.0669
Epoch 19: Train RMSE 0.0502, Validation RMSE 0.0666
Epoch 20: Train RMSE 0.0499, Validation RMSE 0.0661
Epoch 21: Train RMSE 0.0497, Validation RMSE 0.0663
Epoch 22: Train RMSE 0.0495, Validation RMSE 0.0662
